                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75506,                0.50463,                 0.9836,                0.97215,                  0.948,                0.98243,                 0.8351,                0.34745,                 0.5699,                0.51583,               0.000614,               0.000614,               0.000614
                     37,                0.76264,                0.51999,                0.98514,                0.97111,                  0.958,                 0.9803,                0.82396,                0.35142,                0.76708,                0.51825,              0.0005744,              0.0005744,              0.0005744
                     38,                0.76074,                0.51904,                0.98797,                0.97457,                  0.948,                0.98271,                0.82807,                0.34127,                 1.1574,                0.51029,              0.0005348,              0.0005348,              0.0005348
                     39,                0.76228,                0.52829,                0.98833,                0.96464,                0.95472,                0.98453,                0.83462,                0.34291,                0.68405,                0.51202,              0.0004952,              0.0004952,              0.0004952
                     40,                0.74153,                0.49396,                0.97874,                0.97847,                  0.949,                0.98348,                0.83686,                0.33942,                0.76697,                0.51127,              0.0004556,              0.0004556,              0.0004556
                     41,                0.61154,                0.36061,                0.91791,                0.96201,                0.96228,                0.98736,                0.84004,                0.33531,                0.62637,                 0.5022,               0.000416,               0.000416,               0.000416
                     42,                0.61297,                0.34251,                0.91858,                0.96917,                  0.961,                0.98874,                0.84217,                0.32961,                 0.4703,                0.50261,              0.0003764,              0.0003764,              0.0003764
                     43,                0.59537,                 0.3432,                0.89752,                0.97329,                  0.958,                0.98936,                0.84997,                0.32243,                0.49617,                0.49962,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58366,                0.32556,                0.88987,                0.96711,                0.97019,                0.98975,                0.85489,                 0.3287,                0.26646,                0.50855,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57984,                0.32247,                0.90742,                0.97513,                  0.971,                0.99067,                0.86027,                0.32248,                0.31318,                 0.4999,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56518,                0.31218,                0.88726,                0.97964,                0.96253,                0.98984,                0.86125,                0.32198,                0.26211,                0.50147,               0.000218,               0.000218,               0.000218
                     47,                0.55464,                0.30396,                0.88289,                0.98084,                0.97261,                0.99222,                0.86604,                0.31959,                0.23075,                0.49968,              0.0001784,              0.0001784,              0.0001784
                     48,                0.53606,                0.29274,                0.88754,                0.98141,                  0.972,                0.99249,                0.87509,                 0.3078,                0.21696,                0.49349,              0.0001388,              0.0001388,              0.0001388
                     49,                0.54364,                0.29334,                0.88304,                0.97207,                  0.974,                0.99028,                0.87386,                0.30681,                0.19723,                0.49262,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53788,                 0.2857,                0.88354,                0.97463,                  0.972,                0.99295,                0.87625,                0.30526,                 0.2043,                0.49265,               5.96e-05,               5.96e-05,               5.96e-05
